Column1,Year of release,Duration Min,Rating,Genre.1,Genre.2,Genre.3,Director,Box office collection,Awards,Description,Streaming platform.1,Streaming platform.2,Duration Hrs,Rated By,Language
Visaaranai,2015,117,8.4,Crime, Drama, Thriller,Vetrimaaran,1943,11,Four labourers are tortured by the police to confess to a theft they have not committed.,Netflix,,1.95,12000,Tamil
Thani Oruvan,2015,160,8.4,Thriller, Action,,Mohan Raja,2409639,17,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.",Disney+ Hotstar,,2.67,22000,Tamil
Premam,2015,156,8.3,Romance, Drama,,Alphonse Puthren,7228916,25,A young man has three opportunities to find love. Will the third time be the charm?,Disney+ Hotstar,,2.60,24000,Malayalam
Drishyam,2015,163,8.2,Thriller, Drama,,Nishikant Kamat,9400000,2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Amazon Prime Video,,2.72,97000,Malayalam
Papanasam,2015,179,8.4,Thriller, Drama,,Jeethu Joseph,586973,1,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,Disney+ Hotstar,,2.98,8700,Malayalam
Talvar,2015,132,8.1,Crime, Thriller, Mystery,Meghna Gulzar,6879098,11,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Disney+ Hotstar,,2.20,39000,Hindi
Jab We Met,2007,138,7.9,Romance, Comedy, Drama,Imtiaz Ali,10065630,14,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Netflix, Amazon Prime Video,2.30,60000,Hindi
Masaan,2015,109,8.1,Drama,,,Neeraj Ghaywan,651748,25,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies.",Netflix,,1.82,32000,Hindi
Nil Battey Sannata,2015,100,8.2,Drama,,,Ashwiny Iyer Tiwari,0,7,A story about a single woman (a Mom) and dreams on her Daughter.,Amazon Prime Video,,1.67,8200,Hindi
Pranchiyettan and the Saint,2010,140,8.3,Comedy, Drama,,Ranjith,957,17,Pranchiyettan is a successful businessman who often has talks with an imaginary St. Francis of Assisi. The story deals with how he goes about changing his embarrassing image to making a name...  ,Disney+ Hotstar,,2.33,6300,Malayalam
My Name Is Khan,2010,165,7.9,Drama, Social,,Karan Johar,42345360,25,"Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the Presid...  ",Netflix,,2.75,117000,Hindi
Bajrangi Bhaijaan,2015,163,8.1,Drama, Comedy, Family,Kabir Khan,121126188,34,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Disney+ Hotstar,,2.72,99000,Hindi
Dev.D,2009,144,7.9,Romance, Drama, Musical,Anurag Kashyap,4047969,12,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they fin...  ",Netflix,,2.40,32000,Hindi
Charlie,2015,130,8.0,Drama, Romance,,Martin Prakkat,46083,10,"A young, nonconforming woman named Tessa gets entangled in a cat-and-mouse chase in the by-lanes of Kerala, hunting for a mysterious artist who previously lived in her apartment.",SonyLIV,,2.17,13000,Malayalam
Manjhi: The Mountain Man,2015,,8.0,Biography, Drama,,Ketan Mehta,963855,7,"Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Zee5,,,20000,Hindi
Baahubali: The Beginning,2015,159,8.0,Action, Fantasy, Drama,S.S. Rajamouli,24548038,55,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.",Netflix, Amazon Prime Video,2.65,139000,Telugu
Baby,2015,159,7.9,Action, Thriller,,Neeraj Pandey,11533057,2,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent t...  ",Netflix,,2.65,61000,Hindi
Bangalore Days,2014,171,8.3,Drama, Romance, Comedy,Anjali Menon,180217,20,"A fun roller coaster ride about three young people, Aju, Divya and Kuttan who are cousins, reach Bangalore to dream, discover and explore.",Hotstar,,2.85,23000,Malayalam
Kal Ho Naa Ho,2003,186,7.9,Romance, Drama, Comedy,Nikkhil Advani,13200241,45,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Nain...  ",Amazon Prime Video,,3.10,76000,Hindi
Vedam,2010,135,8.1,Drama, Anthology,,Radha Krishna Jagarlamudi,0,8,"Stories of 5 people, an educated slum dweller, an aspiring rock star, an old villager, a prostitute and an ostracized Muslim man; all lead up to a night in a hospital filled with jeopardy.",Disney+ Hotstar,,2.25,8900,Telugu
PK,2014,153,8.1,Comedy, Satire,,Rajkumar Hirani,100370104,21,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views...  ,Netflix, Amazon Prime Video,2.55,204000,Hindi
Vinnaithaandi Varuvaayaa,2010,157,8.1,Romance, Drama,,Gautham Vasudev Menon,292732,14,An aspiring filmmaker goes through the ups and downs of romance when he falls for a Christian woman who says she only wants to be friends.,Amazon Prime Video,,2.62,7000,Tamil
Jigarthanda,2014,171,8.2,Crime, Drama, Comedy,Karthik Subbaraj,24274,7,An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught ...  ,Amazon Prime Video,,2.85,14000,Tamil
The Crow's Egg,2014,109,8.3,Drama, Comedy,,M. Manikandan,246551,10,Two slum kids yearn to taste a pizza after being enticed by the pizza shop that has opened near their locality. What happens when they manage to find the money to buy one?,Disney+ Hotstar,,1.82,7800,Tamil
Haider,2014,160,8.0,Crime, Drama, Adaptation,Vishal Bhardwaj,1404307,35,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",Netflix, Zee5,2.67,58000,Hindi
Ulidavaru Kandanthe,2014,154,8.4,Crime, Drama,,Rakshit Shetty,253012,4,"A journalist sets out to uncover the truth behind an incident, through the perspectives of different people, unraveling how they and their lives are intertwined with it.",Voot,,2.57,9600,Kannada
Manam,2014,163,8.0,Drama, Family, Fantasy,Vikram K. Kumar,28369,18,"Through reincarnation, family members are able to cross generations and meddle in each others' lives.",Disney+ Hotstar,,2.72,12000,Telugu
Drishyam,2013,160,8.3,Thriller, Drama,,Jeethu Joseph,13076265,16,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Amazon Prime Video,,2.67,45000,Malayalam
Bhaag Milkha Bhaag,2013,186,8.2,Biography, Sports, Drama,Rakeysh Omprakash Mehra,17551296,55,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Disney+ Hotstar, Amazon Prime Video,3.10,73000,Hindi
Soodhu Kavvum,2013,135,8.3,Crime, Comedy,,Nalan Kumarasamy,843373,4,"Das, with his team, kidnap Arumai, son of a politician, who has been planning his own kidnapping to extract money from his father. Problems arise, when an insane cop is brought to handle the...  ",Disney+ Hotstar,,2.25,12000,Tamil
Queen,2013,146,8.1,Drama, Comedy,,Vikas Bahl,502391,28,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Netflix, Disney+ Hotstar,2.43,69000,Hindi
Lucia,2013,135,8.3,Psychological Thriller,,,Pawan Kumar,61446,4,"A man suffering from insomnia is tricked into buying a drug, Lucia, that makes his desires come true in his dreams, blurring the line between fantasy and reality.",Amazon Prime Video,,2.25,13000,Kannada
Special 26,2013,144,8.0,Crime, Drama, Thriller,Neeraj Pandey,647074,13,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Netflix,,2.40,60000,Hindi
Ugly,2013,128,7.9,Crime, Thriller, Drama,Anurag Kashyap,1475000,3,The case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.,Disney+ Hotstar,,2.13,24000,Hindi
Johnny Gaddaar,2007,135,7.9,Crime, Thriller,,Sriram Raghavan,1109943,3,"Police officers recount a tale of missing money which results in lies, deceit, betrayal and death.",Amazon Prime Video,,2.25,13000,Hindi
Ankhon Dekhi,2013,107,7.9,Drama, Comedy,,Rajat Kapoor,151226,8,"After a distressing incident, a Delhi man vows to believe only what he can see, but his new ideals soon take his life in extreme directions.",Netflix,,1.78,13000,Hindi
Dor,2006,147,7.9,Drama,,,Nagesh Kukunoor,517575,6,"Two woman --different backgrounds, miles apart, and strangers to each other-- are linked by tragedy. Their new-found friendship is tested as one holds the fate of the other's husband in her ...  ",Amazon Prime Video,,2.45,6300,Hindi
Memories,2013,132,8.0,Thriller, Drama, Mystery,Jeethu Joseph,602410,2,"Sam Alex, a drunkard ex-cop, is forced to investigate a series of murders which are committed in the same pattern. His search leads to a serial killer, and something more than what he expect...  ",Amazon Prime Video,,2.20,8000,Malayalam
The Lunchbox,2013,104,7.8,Romance, Drama,,Ritesh Batra,11621785,29,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through ...  ,Netflix, Amazon Prime Video,1.73,62000,Hindi
Hey Ram,2000,186,7.9,Drama, History, Thriller,Kamal Haasan,274675,5,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country and sets ou...  ,Amazon Prime Video,,3.10,14000,Tamil
Mumbai Police,2013,145,7.9,Crime, Thriller, Drama,Rosshan Andrrews,0,1,"ACP Antony is the only one who knows the truth behind ACP Aaryan's murder. Antony meets with an accident, losing his memory and is unable to reveal the killer. He is forced to investigate th...  ",Disney+ Hotstar,,2.42,7900,Malayalam
Gangs of Wasseypur,2012,321,8.2,Crime, Drama, Action,Anurag Kashyap,4384642,18,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Amazon Prime Video,,5.35,105000,Hindi
Shahid,2012,129,8.2,Biography, Legal Drama,,Hansal Mehta,377803,11,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",Amazon Prime Video,,2.15,18000,Hindi
Paan Singh Tomar,2012,135,8.2,Biography, Sports, Drama,Tigmanshu Dhulia,40311,12,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Netflix,,2.25,38000,Hindi
Barfi!,2012,151,8.1,Romance, Comedy, Drama,Anurag Basu,4490134,68,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.,Netflix,,2.52,88000,Hindi
OMG: Oh My God!,2012,125,8.1,Satire, Comedy, Drama,Umesh Shukla,12140087,6,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,Netflix, Amazon Prime Video,2.08,66000,Hindi
Lakshya,2004,186,7.8,War, Drama,,Farhan Akhtar,5859242,6,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Amazon Prime Video,,3.10,26000,Hindi
Ustad Hotel,2012,151,8.2,Drama, Romance,,Anwar Rasheed,2178,7,"Faisi wants to go to UK to become a professional chef but circumstances force him to assist his grandfather in a small restaurant in Kozhikode city, changing his outlook on life forever.",Disney+ Hotstar,,2.52,17000,Malayalam
Kahaani,2012,122,8.1,Thriller, Drama, Mystery,Sujoy Ghosh,459234,27,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Netflix,,2.03,66000,Hindi
Gangaajal,2003,157,7.8,Crime, Drama,,Prakash Jha,1875477,5,"An IPS officer motivates and leads a dysfunctional, corrupt police force of Tezpur to fight against the corrupt politician.",Disney+ Hotstar,,2.62,18000,Hindi
Naduvula Konjam Pakkatha Kaanom,2012,155,8.2,Comedy, Drama,,Balaji Tharaneetharan,96386,2,"A young man forgets a few years of his life, even as he is about to get married.",Amazon Prime Video,,2.58,6400,Tamil
Vettaiyaadu Vilaiyaadu,2006,174,7.9,Crime, Thriller,,Gautham Vasudev Menon,7888,3,"A Police Officer investigates a series of brutal rapes and murders, with the culprits seeming to cover more than one country.",Amazon Prime Video,,2.90,8300,Tamil
Kaakha Kaakha,2003,153,8.0,Action, Crime, Drama,Gautham Vasudev Menon,602410,6,"After a police team kills his brother, a drug-dealing gangster vows to kill the entire team and their respective families.",Amazon Prime Video,,2.55,6900,Tamil
Ab Tak Chhappan,2004,129,7.8,Crime, Thriller,,Shimit Amin,3614458,3,"Sadhu, an encounter specialist, is armed with a personal vendetta to find and kill the gangsters responsible for his wife's death.",Disney+ Hotstar,,2.15,9700,Hindi
Ship of Theseus,2012,140,8.0,Drama, Philosophical,,Anand Gandhi,144578,12,"The film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker.",Disney+ Hotstar,,2.33,7900,Hindi
Pizza,2012,127,7.9,Thriller, Horror,,Karthik Subbaraj,180723,5,A pizza delivery boy lands in a mysterious circumstance and it works a dramatic change in his life.,Disney+ Hotstar,,2.12,8800,Tamil
English Vinglish,2012,134,7.8,Drama, Family,,Gauri Shinde,10299150,13,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Netflix, Amazon Prime Video,2.23,40000,Hindi
Thuppakki,2012,165,8.1,Action, Thriller,,A.R. Murugadoss,2130470,14,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,Disney+ Hotstar,,2.75,38000,Tamil
Unnaipol Oruvan,2009,102,8.0,Thriller, Drama,,Chakri Toleti,6024096,3,A retiring police officer remembers a thrilling case of his life which is not recorded in any case files.,Amazon Prime Video,,1.70,6200,Tamil
Pokiri,2006,164,8.0,Action, Drama,,Puri Jagannadh,93651,7,A money-minded criminal has to deal with two rival gangs as well as an evil cop threatening his girlfriend.,Disney+ Hotstar,,2.73,16000,Telugu
Vicky Donor,2012,126,7.7,Comedy, Drama,,Shoojit Sircar,6456358,43,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Amazon Prime Video, Netflix,2.10,46000,Hindi
Zindagi Na Milegi Dobara,2011,155,8.2,Drama, Romance,,Zoya Akhtar,5192743,35,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,Netflix, Amazon Prime Video,2.58,87000,Hindi
Nayak: The Real Hero,2001,187,7.8,Action, Political Drama,,S. Shankar,0,4,"A man accepts a challenge by the chief minister of Maharashtra to run the state for one day, and makes such a success of it that soon he is embroiled in political intrigue.",Amazon Prime Video,,3.12,18000,Hindi
Leader,2010,167,8.0,Political Drama,,,Sekhar Kammula,1566265,3,"A well educated idealist, who is a son of Political leader in power wants to correct the rigged political system of favors and corruption. However, this soon becomes a game of power. How wou...  ",Amazon Prime Video,,2.78,5700,Telugu
Veer-Zaara,2004,192,7.8,Romance, Drama,,Yash Chopra,6887221,30,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever.",Amazon Prime Video,,3.20,58000,Hindi
Aadukalam,2011,160,8.1,Drama, Action,,Vetrimaaran,4997,25,Falling in love with Irene as well as refusing to obey his boss Pettaikaran in a rooster fight complicates Karuppu's life.,Disney+ Hotstar,,2.67,7300,Tamil
Okkadu,2003,171,8.0,Action, Drama,,Gunasekhar,11764,20,A Kabbadi player rescues a young woman from an unwanted marriage and hides her in his home.,Amazon Prime Video,,2.85,11000,Telugu
22 Shey Shraban,2011,139,8.1,Crime, Thriller,,Srijit Mukherji,0,0,An ex-cop is hired to track down a serial killer who carries out his killings according to Bengali poetry.,Hoichoi,,2.32,6200,Bengali
Deiva Thirumagal,2011,166,8.2,Drama, Family,,A.L. Vijay,846407,13,"A man with disabilities fights for custody of his 7-year-old daughter, and in the process teaches his opponent lawyer the value of love and family.",Amazon Prime Video,,2.77,6600,Tamil
Traffic,2011,122,8.1,Thriller, Drama,,Rajesh Pillai,0,2,The lives of some different people get intertwined when a girl is in urgent need of a heart transplant with the only heart donor being many miles of traffic away.,Amazon Prime Video,,2.03,5300,Malayalam
Hazaaron Khwaishein Aisi,2003,,7.9,Political Drama, Romance,,Sudhir Mishra,0,8,"Set in the backdrop of Indian Emergency 1975, the story revolves around 3 friends whose lives changes drastically after the turn of events.",Amazon Prime Video,,,5300,Hindi
Ghilli,2004,160,8.1,Action, Drama,,Dharani,163961,2,"Velu, an aspiring kabaddi player, goes to Madurai to participate in a regional match, where he rescues Dhanalakshmi from Muthupandi, a powerful man keen on marrying the girl against her will...  ",Disney+ Hotstar,,2.67,17000,Tamil
Stanley Ka Dabba,2011,96,7.8,Drama, Family,,Amole Gupte,1241102,4,"A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box.",Disney+ Hotstar,,1.60,7700,Hindi
Happy Days,2007,153,7.9,Drama, Romance, Comedy,Sekhar Kammula,361446,7,A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles together.,Amazon Prime Video,,2.55,6300,Telugu
